年,月,零售总额
2009,1,10756.6
2009,2,9323.8
2009,3,9317.6
2009,4,9343.2
2009,5,10028.4
2009,6,9941.6
2009,7,9936.5
2009,8,10115.6
2009,9,10912.8
2009,10,11717.6
2009,11,11717.6
2009,12,12610
2010,1,12718.1
2010,2,12334.2
2010,3,11321.7
2010,4,11510.4
2010,5,12455.1
2010,6,12329.9
2010,7,12252.8
2010,8,12569.8
2010,9,13536.5
2010,10,14284.8
2010,11,13910.9
2010,12,15329.5
2011,1,15249
2011,2,13769.1
2011,3,13588
2011,4,13649
2011,5,14696.8
2011,6,14565.1
2011,7,14408
2011,8,14705
2011,9,15865.1
2011,10,16546.4
2011,11,16128.9
2011,12,17739.7
2012,1,17479.9
2012,2,16188.7
2012,3,15650.2
2012,4,15603.1
2012,5,16714.8
2012,6,16584.9
2012,7,16314.9
2012,8,16658.9
2012,9,18226.6
2012,10,18933.8
2012,11,18476.7
2012,12,20334.2
2013,1,19629.9
2013,2,18179.9
2013,3,17641.2
2013,4,17600.3
2013,5,18886.3
2013,6,18826.7
2013,7,18513.2
2013,8,18886.2
2013,9,20653.3
2013,10,21491.3
2013,11,21011.9
2013,12,23059.7
