地区,居民消费水平,人均GDP
北京市,33337,94648
天津市,26261,100105
河北省,11557,38909
山西省,12078,34984
内蒙古自治区,17168,67836
辽宁省,20156,61996
吉林省,13676,47428
黑龙江省,12978,37697
上海市,39223,90993
江苏省,23585,75354
浙江省,24771,68805
安徽省,11618,32001
福建省,17115,58145
江西省,11910,31930
山东省,16728,56885
河南省,11782,34211
湖北省,13912,42826
湖南省,12920,36943
广东省,23739,58833
广西壮族自治区,11710,30741
海南省,11712,35663
重庆市,15270,43223
四川省,12485,32617
贵州省,9541,23151
云南省,11224,25322
西藏自治区,6275,26326
陕西省,13206,43117
甘肃省,9616,24539
青海省,12070,36875
宁夏回族自治区,13537,39613
新疆维吾尔自治区,11401,37553
