日期,北京,上海,郑州,武汉,西安,沈阳
2019/1/1,45,40,158,62,215,114
2019/1/2,78,87,200,80,271,103
2019/1/3,162,73,204,95,340,103
2019/1/4,40,75,325,122,296,63
2019/1/5,47,64,142,214,258,51
2019/1/6,88,55,119,213,346,110
2019/1/7,55,63,216,153,230,115
2019/1/8,35,75,183,117,132,53
2019/1/9,74,55,62,54,190,76
2019/1/10,100,59,162,49,201,93
2019/1/11,135,70,235,92,235,198
2019/1/12,267,65,250,139,265,262
2019/1/13,169,104,242,143,287,234
2019/1/14,137,94,285,109,275,186
2019/1/15,54,135,139,143,69,75
2019/1/16,73,55,97,76,65,74
2019/1/17,78,105,71,130,100,92
2019/1/18,94,109,132,133,144,122
2019/1/19,33,103,209,125,104,103
2019/1/20,33,128,129,188,80,53
2019/1/21,57,99,74,173,64,72
2019/1/22,64,110,60,144,103,90
2019/1/23,60,128,105,108,123,51
2019/1/24,79,127,209,109,203,78
2019/1/25,32,68,104,175,99,53
2019/1/26,44,34,67,198,138,100
2019/1/27,76,57,127,94,188,108
2019/1/28,56,82,179,170,159,70
2019/1/29,139,65,229,118,148,90
2019/1/30,63,78,254,60,130,70
2019/1/31,30,41,73,74,58,74
2019/2/1,68,82,75,105,79,83
2019/2/2,142,70,135,75,111,99
2019/2/3,104,93,107,98,87,107
2019/2/4,78,103,81,150,89,62
2019/2/5,139,61,172,142,271,82
2019/2/6,78,62,295,94,216,77
2019/2/7,35,48,76,135,139,52
2019/2/8,46,36,57,28,109,59
2019/2/9,32,38,64,49,133,74
2019/2/10,39,36,59,73,129,95
2019/2/11,51,39,118,97,216,95
2019/2/12,52,39,140,55,235,48
2019/2/13,38,44,168,79,158,84
2019/2/14,72,44,124,42,118,100
2019/2/15,35,42,170,58,135,69
2019/2/16,38,57,142,94,97,50
2019/2/17,36,44,147,95,180,67
2019/2/18,59,50,75,65,202,92
2019/2/19,118,67,153,88,192,132
2019/2/20,64,62,237,124,216,107
2019/2/21,129,77,260,105,170,100
2019/2/22,132,64,248,62,137,195
2019/2/23,180,160,251,74,145,152
2019/2/24,104,135,225,84,195,72
2019/2/25,70,102,261,104,165,59
2019/2/26,73,53,306,156,79,133
2019/2/27,120,60,159,50,98,227
2019/2/28,109,58,107,57,117,149
2019/3/1,158,119,92,52,90,165
2019/3/2,233,69,130,63,54,190
2019/3/3,213,100,125,72,72,239
2019/3/4,143,127,110,72,89,251
2019/3/5,114,108,144,55,87,238
2019/3/6,42,103,105,68,93,63
2019/3/7,48,92,67,63,87,80
2019/3/8,79,52,68,84,71,98
2019/3/9,113,100,120,100,91,102
2019/3/10,145,69,139,100,77,94
2019/3/11,41,95,68,102,62,89
2019/3/12,39,105,70,101,64,70
2019/3/13,39,60,95,93,67,56
2019/3/14,43,58,74,67,60,63
2019/3/15,48,68,64,95,77,55
2019/3/16,56,81,70,94,95,54
2019/3/17,74,107,93,90,94,56
2019/3/18,134,55,74,69,64,87
2019/3/19,163,64,75,70,75,81
2019/3/20,85,59,88,60,120,85
2019/3/21,40,74,94,69,111,46
2019/3/22,41,46,74,44,80,40
2019/3/23,41,52,82,63,78,41
2019/3/24,69,69,90,77,95,111
2019/3/25,56,80,83,54,97,80
2019/3/26,85,82,105,74,107,54
2019/3/27,91,84,95,73,93,56
2019/3/28,58,97,101,79,105,53
2019/3/29,71,63,88,85,103,75
2019/3/30,40,78,87,86,72,63
2019/3/31,42,54,78,58,78,45
2019/4/1,45,77,90,84,100,51
2019/4/2,58,71,125,69,106,57
2019/4/3,78,77,129,70,76,85
2019/4/4,90,54,111,82,67,374
2019/4/5,171,97,121,56,72,88
2019/4/6,131,90,135,82,71,73
2019/4/7,75,119,128,90,112,53
2019/4/8,61,98,144,76,144,48
2019/4/9,39,55,49,41,60,62
2019/4/10,48,43,78,40,74,60
2019/4/11,65,56,132,51,70,70
2019/4/12,85,84,95,71,75,102
2019/4/13,109,77,85,77,58,142
2019/4/14,57,67,57,63,64,59
2019/4/15,74,63,70,95,70,78
2019/4/16,101,57,70,60,81,95
2019/4/17,138,75,86,80,105,100
2019/4/18,107,115,138,71,109,89
2019/4/19,61,60,74,75,114,77
2019/4/20,57,45,84,109,55,66
2019/4/21,112,49,77,55,56,79
2019/4/22,126,54,63,79,65,127
2019/4/23,124,74,82,60,83,70
2019/4/24,60,123,93,134,100,74
2019/4/25,49,62,52,75,141,53
2019/4/26,60,44,62,52,66,53
2019/4/27,54,66,59,51,53,69
2019/4/28,65,58,78,35,69,69
2019/4/29,139,68,92,33,64,46
2019/4/30,74,54,134,74,73,63
2019/5/1,60,85,102,79,93,77
2019/5/2,85,74,97,96,77,74
2019/5/3,108,80,113,128,71,92
2019/5/4,126,92,79,106,79,131
2019/5/5,52,90,132,85,71,60
2019/5/6,56,59,67,64,57,61
2019/5/7,65,66,87,54,49,57
2019/5/8,69,70,77,95,56,99
2019/5/9,81,127,98,92,85,88
2019/5/10,124,103,95,120,76,140
2019/5/11,138,150,74,135,90,106
2019/5/12,117,112,126,98,381,122
2019/5/13,60,58,116,112,364,67
2019/5/14,101,55,140,110,189,92
2019/5/15,134,36,112,45,107,87
2019/5/16,116,60,126,65,88,56
2019/5/17,112,49,143,65,94,50
2019/5/18,54,54,57,81,86,76
2019/5/19,58,80,115,45,78,51
2019/5/20,47,61,74,78,70,62
2019/5/21,61,125,95,78,90,76
2019/5/22,94,155,107,97,113,66
2019/5/23,195,202,125,137,83,118
2019/5/24,130,123,126,81,123,197
2019/5/25,175,70,130,47,136,151
2019/5/26,64,45,144,63,94,62
2019/5/27,48,56,83,79,61,45
2019/5/28,80,62,66,82,35,67
2019/5/29,144,92,93,65,44,56
2019/5/30,61,85,108,49,85,50
2019/5/31,60,86,111,113,105,46
2019/6/1,104,65,124,106,83,94
2019/6/2,141,71,115,96,85,97
2019/6/3,124,87,85,102,107,77
2019/6/4,98,96,139,108,151,100
2019/6/5,75,91,100,76,42,109
2019/6/6,73,44,102,80,95,116
2019/6/7,117,59,141,131,140,90
2019/6/8,80,89,154,96,153,80
2019/6/9,49,87,128,112,141,72
2019/6/10,97,60,115,101,139,70
2019/6/11,175,63,131,121,95,76
2019/6/12,156,63,118,91,76,120
2019/6/13,127,54,128,95,128,46
2019/6/14,87,68,177,141,118,49
2019/6/15,123,173,125,130,48,25
2019/6/16,36,177,130,55,105,33
2019/6/17,97,80,130,38,54,69
2019/6/18,186,45,143,48,132,54
2019/6/19,154,46,95,43,52,101
2019/6/20,179,36,50,54,38,95
2019/6/21,101,39,97,26,33,48
2019/6/22,117,44,124,51,61,60
2019/6/23,193,60,122,103,108,106
2019/6/24,166,73,118,137,70,134
2019/6/25,187,45,124,128,129,85
2019/6/26,188,47,152,132,105,87
2019/6/27,170,75,130,102,55,93
2019/6/28,120,121,55,54,40,58
2019/6/29,55,57,75,55,49,48
2019/6/30,47,48,117,88,91,50
2019/7/1,67,48,139,97,116,46
2019/7/2,110,65,155,160,119,75
2019/7/3,119,71,193,132,105,97
2019/7/4,173,70,99,59,96,140
2019/7/5,60,61,127,69,102,77
2019/7/6,33,74,89,61,100,89
2019/7/7,64,137,102,110,123,89
2019/7/8,100,112,67,80,46,106
2019/7/9,50,37,109,44,87,114
2019/7/10,90,43,89,90,102,115
2019/7/11,96,58,119,92,89,60
2019/7/12,144,44,68,39,92,65
2019/7/13,151,48,168,64,140,80
2019/7/14,117,93,139,100,150,78
2019/7/15,162,64,131,86,88,82
2019/7/16,101,38,150,85,56,90
2019/7/17,72,39,84,53,46,70
2019/7/18,130,25,103,45,36,75
2019/7/19,77,25,146,51,51,107
2019/7/20,80,45,186,122,107,130
2019/7/21,146,92,145,99,95,42
2019/7/22,104,90,83,65,42,148
2019/7/23,105,116,113,49,95,49
2019/7/24,109,78,182,67,68,94
2019/7/25,130,71,119,57,144,76
2019/7/26,167,97,90,57,116,107
2019/7/27,167,72,79,56,124,119
2019/7/28,113,70,69,52,79,103
2019/7/29,43,90,55,56,48,85
2019/7/30,114,99,78,51,141,68
2019/7/31,142,64,64,74,149,119
2019/8/1,150,38,52,73,108,115
2019/8/2,83,25,39,51,75,69
2019/8/3,117,25,67,75,37,40
2019/8/4,65,30,61,122,102,68
2019/8/5,51,24,54,105,62,68
2019/8/6,91,36,63,108,40,51
2019/8/7,96,38,81,82,104,60
2019/8/8,123,26,79,83,85,46
2019/8/9,75,25,103,69,44,92
2019/8/10,61,39,61,35,113,29
2019/8/11,28,40,77,67,124,24
2019/8/12,39,89,65,95,89,19
2019/8/13,39,85,98,124,108,27
2019/8/14,44,143,95,113,100,31
2019/8/15,117,118,135,103,120,37
2019/8/16,39,170,100,104,140,36
2019/8/17,39,181,104,168,118,33
2019/8/18,86,93,130,135,123,42
2019/8/19,132,82,125,133,83,81
2019/8/20,70,67,123,171,56,51
2019/8/21,46,110,60,125,50,49
2019/8/22,43,93,115,104,54,45
2019/8/23,43,64,131,133,67,35
2019/8/24,100,36,128,145,136,52
2019/8/25,94,23,65,126,94,71
2019/8/26,102,81,120,65,73,110
2019/8/27,46,85,61,55,43,80
2019/8/28,34,46,100,47,70,81
2019/8/29,36,55,87,121,103,37
2019/8/30,45,111,132,98,87,28
2019/8/31,86,85,108,73,77,51
2019/9/1,100,54,111,57,65,94
2019/9/2,128,42,67,100,94,107
2019/9/3,178,68,110,74,88,148
2019/9/4,143,64,128,91,57,94
2019/9/5,149,42,135,124,111,30
2019/9/6,178,28,130,95,94,63
2019/9/7,150,79,175,116,120,38
2019/9/8,127,93,170,139,110,70
2019/9/9,147,47,139,152,69,48
2019/9/10,33,120,97,148,47,38
2019/9/11,40,65,26,157,39,36
2019/9/12,38,63,27,157,33,46
2019/9/13,35,54,38,150,37,25
2019/9/14,50,46,52,77,32,37
2019/9/15,68,54,36,67,37,62
2019/9/16,61,76,42,50,53,33
2019/9/17,83,66,44,47,40,56
2019/9/18,41,72,112,49,48,37
2019/9/19,56,48,62,110,39,60
2019/9/20,74,75,78,68,45,90
2019/9/21,120,50,100,89,64,55
2019/9/22,119,45,166,91,73,40
2019/9/23,51,52,136,96,70,62
2019/9/24,61,110,102,101,68,61
2019/9/25,100,96,131,103,70,70
2019/9/26,127,74,129,105,78,80
2019/9/27,95,63,120,97,77,85
2019/9/28,127,52,130,132,72,107
2019/9/29,137,56,136,140,80,88
2019/9/30,104,46,137,130,88,135
2019/10/1,70,20,134,130,77,136
2019/10/2,70,28,128,107,83,117
2019/10/3,89,47,131,124,62,62
2019/10/4,27,61,54,151,35,23
2019/10/5,23,56,32,50,25,37
2019/10/6,47,49,38,29,37,69
2019/10/7,54,53,52,38,50,71
2019/10/8,29,80,63,38,40,38
2019/10/9,55,60,50,51,45,59
2019/10/10,67,69,48,58,45,53
2019/10/11,59,57,52,38,60,42
2019/10/12,72,70,57,49,77,53
2019/10/13,55,60,67,39,75,44
