地区,食品烟酒,衣着,居住,生活用品及服务,交通通信,教育文化娱乐,医疗保健,其他用品及服务
北京,8064.9,2175.5,14110.3,2371.9,4767.4,3999.4,3274.5,1078.6
天津,8647.5,1990,6406.3,1818.4,4280.9,3186.6,2676.9,896.3
辽宁,5727.8,1628.1,4169.5,1259.4,2968.2,2708,2257.1,680.2
上海,10728.2,2036.8,14208.5,2095.5,4881.2,5049.4,3070.2,1281.5
江苏,6529.8,1541,6731.2,1493.3,3522.8,2582.6,2016.4,590.4
浙江,8198.3,1813.5,7721.2,1652.4,4302,3031.3,2059.4,692.6
山东,5030.9,1391.8,3928.5,1394.3,2834.3,2174.4,1627.6,398.1
湖北,5491.3,1316.2,4310.6,1253.2,2584.1,2187.5,1907.9,487
广东,8480.8,1135.3,6643.3,1440.8,3423.9,2750.9,1520.8,658.2
重庆,6220.8,1454.5,3498.8,1338.9,2545,2087.8,1660,442.8
四川,5937.9,1173.8,3368,1182.2,2398.8,1599.7,1568.6,434.5
陕西,4292.5,1141.1,3388.2,1200.8,2005.8,2008.8,1749.4,373.2
新疆,4691.6,1456,2894.3,1082.8,2274.4,1762.5,1592.6,434.9
