"","Æ·ÖÖ","²úÁ¿"
"1","Æ·ÖÖ1",81
"2","Æ·ÖÖ1",82
"3","Æ·ÖÖ1",79
"4","Æ·ÖÖ1",81
"5","Æ·ÖÖ1",78
"6","Æ·ÖÖ1",89
"7","Æ·ÖÖ1",92
"8","Æ·ÖÖ1",87
"9","Æ·ÖÖ1",85
"10","Æ·ÖÖ1",86
"11","Æ·ÖÖ2",71
"12","Æ·ÖÖ2",72
"13","Æ·ÖÖ2",72
"14","Æ·ÖÖ2",66
"15","Æ·ÖÖ2",72
"16","Æ·ÖÖ2",77
"17","Æ·ÖÖ2",81
"18","Æ·ÖÖ2",77
"19","Æ·ÖÖ2",73
"20","Æ·ÖÖ2",79
"21","Æ·ÖÖ3",76
"22","Æ·ÖÖ3",79
"23","Æ·ÖÖ3",77
"24","Æ·ÖÖ3",76
"25","Æ·ÖÖ3",78
"26","Æ·ÖÖ3",89
"27","Æ·ÖÖ3",87
"28","Æ·ÖÖ3",84
"29","Æ·ÖÖ3",87
"30","Æ·ÖÖ3",87
