"","施肥方式","品种","产量"
"1","甲","品种1",81
"2","甲","品种1",82
"3","甲","品种1",79
"4","甲","品种1",81
"5","甲","品种1",78
"6","乙","品种1",89
"7","乙","品种1",92
"8","乙","品种1",87
"9","乙","品种1",85
"10","乙","品种1",86
"11","甲","品种2",71
"12","甲","品种2",72
"13","甲","品种2",72
"14","甲","品种2",66
"15","甲","品种2",72
"16","乙","品种2",77
"17","乙","品种2",81
"18","乙","品种2",77
"19","乙","品种2",73
"20","乙","品种2",79
"21","甲","品种3",76
"22","甲","品种3",79
"23","甲","品种3",77
"24","甲","品种3",76
"25","甲","品种3",78
"26","乙","品种3",89
"27","乙","品种3",87
"28","乙","品种3",84
"29","乙","品种3",87
"30","乙","品种3",87
